"NA06985","NA06994","NA07037","NA10847","NA11920","NA11918","NA11931","NA12003","NA12006","NA12287"
"ENSG00000000419",69,54,67,70,146,80,300,84,99,126
"ENSG00000000457",53,37,27,41,59,18,89,32,46,62
"ENSG00000000460",12,25,33,22,97,46,132,53,209,119
"ENSG00000000938",168,270,140,103,231,20,296,524,462,55
"ENSG00000000971",0,0,0,0,0,0,0,0,0,1
"ENSG00000001036",100,74,61,60,137,112,197,153,201,187
"ENSG00000001084",41,46,117,58,114,42,108,52,83,109
"ENSG00000001167",147,126,129,149,333,103,486,267,349,161
"ENSG00000001460",21,5,13,2,35,5,27,4,134,12
"ENSG00000001461",111,63,79,68,154,63,250,100,220,136
"ENSG00000001561",76,48,18,31,35,30,203,49,61,43
"ENSG00000001617",2,1,6,1,1,0,2,1,0,0
"ENSG00000001629",209,193,180,172,357,201,579,478,666,275
"ENSG00000001630",71,47,158,79,119,32,83,58,28,83
"ENSG00000001631",77,52,80,56,105,90,220,124,156,80
"ENSG00000002016",10,10,3,4,16,3,27,16,54,25
"ENSG00000002079",0,0,0,0,0,0,1,0,0,0
"ENSG00000002330",258,177,343,177,214,16,272,261,312,497
"ENSG00000002549",260,207,386,381,396,305,537,378,1045,661
"ENSG00000002587",52,6,36,10,20,4,25,2,0,53
"ENSG00000002726",1,0,0,1,0,3,0,0,0,35
"ENSG00000002745",0,0,0,0,0,0,6,0,0,1
"ENSG00000002746",1,0,0,2,1,0,0,0,0,4
"ENSG00000002822",387,465,556,282,298,46,550,578,1003,408
"ENSG00000002834",1329,1337,2045,1566,3147,872,2266,2879,4735,1890
"ENSG00000002919",1038,494,479,365,417,212,1045,492,787,1088
"ENSG00000002933",0,0,0,0,0,1,0,0,0,2
"ENSG00000003056",335,248,282,225,568,443,815,408,719,771
"ENSG00000003137",1,0,0,0,0,0,0,0,0,0
"ENSG00000003147",44,10,14,3,17,1,17,0,25,32
"ENSG00000003249",45,118,243,280,44,24,89,283,481,55
"ENSG00000003393",40,30,31,25,59,23,103,66,90,47
"ENSG00000003400",40,23,61,44,48,15,31,43,90,69
